code,code_type,description,category,common_appeal_argument
P18,CARC,Procedure is not listed in the jurisdiction fee schedule. An allowance has been made for a comparable service. To be used for Property and Casualty only.,,
P19,CARC,"Procedure has a relative value of zero in the jurisdiction fee schedule, therefore no payment is due. To be used for Property and Casualty only.",,
P20,CARC,Service not paid under jurisdiction allowed outpatient facility fee schedule. To be used for Property and Casualty only.,,
P21,CARC,"Payment denied based on the Medical Payments Coverage (MPC) and/or Personal Injury Protection (PIP) Benefits jurisdictional regulations, or payment policies. Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') if the jurisdictional regulation applies. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Property and Casualty Auto only.",,
P22,CARC,"Payment adjusted based on the Medical Payments Coverage (MPC) and/or Personal Injury Protection (PIP) Benefits jurisdictional regulations, or payment policies. Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') if the jurisdictional regulation applies. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Property and Casualty Auto only.",,
P23,CARC,"Medical Payments Coverage (MPC) or Personal Injury Protection (PIP) Benefits jurisdictional fee schedule adjustment. Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Class of Contract Code Identification Segment (Loop 2100 Other Claim Related Information REF). If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Property and Casualty Auto only.",,
P24,CARC,"Payment adjusted based on Preferred Provider Organization (PPO). Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Class of Contract Code Identification Segment (Loop 2100 Other Claim Related Information REF). If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Property and Casualty only. Use only with Group Code CO.",,
P25,CARC,"Payment adjusted based on Medical Provider Network (MPN). Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Class of Contract Code Identification Segment (Loop 2100 Other Claim Related Information REF). If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Property and Casualty only. (Use only with Group Code CO).",,
P26,CARC,"Payment adjusted based on Voluntary Provider network (VPN). Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Class of Contract Code Identification Segment (Loop 2100 Other Claim Related Information REF). If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Property and Casualty only. (Use only with Group Code CO).",,
P27,CARC,"Payment denied based on the Liability Coverage Benefits jurisdictional regulations and/or payment policies. Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') if the jurisdictional regulation applies. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Property and Casualty Auto only.",,
P28,CARC,"Payment adjusted based on the Liability Coverage Benefits jurisdictional regulations and/or payment policies. Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') if the jurisdictional regulation applies. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Property and Casualty Auto only.",,
P29,CARC,"Liability Benefits jurisdictional fee schedule adjustment. Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Class of Contract Code Identification Segment (Loop 2100 Other Claim Related Information REF). If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Property and Casualty Auto only.",,
P30,CARC,Payment denied for exacerbation when supporting documentation was not complete. To be used for Property and Casualty only.,,
P31,CARC,Payment denied for exacerbation when treatment exceeds time allowed. To be used for Property and Casualty only.,,
P32,CARC,Payment adjusted due to Apportionment.,,
W1,CARC,"Workers' compensation jurisdictional fee schedule adjustment. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Class of Contract Code Identification Segment (Loop 2100 Other Claim Related Information REF). If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply.",,
W2,CARC,"Payment reduced or denied based on workers' compensation jurisdictional regulations or payment policies, use only if no other code is applicable. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') if the jurisdictional regulation applies. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for Workers' Compensation only.",,
W3,CARC,"The Benefit for this Service is included in the payment/allowance for another service/procedure that has been performed on the same day. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present. For use by Property and Casualty only.",,
W4,CARC,Workers' Compensation Medical Treatment Guideline Adjustment.,,
W5,CARC,Medical provider not authorized/certified to provide treatment to injured workers in this jurisdiction. (Use with Group Code CO or OA),,
W6,CARC,Referral not authorized by attending physician per regulatory requirement.,,
W7,CARC,Procedure is not listed in the jurisdiction fee schedule. An allowance has been made for a comparable service.,,
W8,CARC,"Procedure has a relative value of zero in the jurisdiction fee schedule, therefore no payment is due.",,
W9,CARC,Service not paid under jurisdiction allowed outpatient facility fee schedule.,,
Y1,CARC,"Payment denied based on Medical Payments Coverage (MPC) or Personal Injury Protection (PIP) Benefits jurisdictional regulations or payment policies, use only if no other code is applicable. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') if the jurisdictional regulation applies. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for P&C Auto only.",,
Y2,CARC,"Payment adjusted based on Medical Payments Coverage (MPC) or Personal Injury Protection (PIP) Benefits jurisdictional regulations or payment policies, use only if no other code is applicable. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') if the jurisdictional regulation applies. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for P&C Auto only.",,
Y3,CARC,"Medical Payments Coverage (MPC) or Personal Injury Protection (PIP) Benefits jurisdictional fee schedule adjustment. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Class of Contract Code Identification Segment (Loop 2100 Other Claim Related Information REF). If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF) if the regulations apply. To be used for P&C Auto only.",,
COc,CARC,Contractural Obligations,,
CRc,CARC,Correction and Reversals,,
OAc,CARC,Other adjustments,,
PRc,CARC,Patient Responsibility,,
50p,CARC,Late Charge,,
51p,CARC,Interest Penalty Charge,,
72p,CARC,Authorized Return,,
90p,CARC,Early Payment Allowance,,
AMp,CARC,Applied to Borrower's Account,,
APp,CARC,Acceleration of Benefits,,
B2p,CARC,Rebate,,
B3p,CARC,Recovery Allowance,,
BDp,CARC,Bad Debt Adjustment,,
BNp,CARC,Bonus,,
C5p,CARC,Temporary Allowance,,
CRp,CARC,Capitation Interest,,
CSp,CARC,Adjustment,,
CTp,CARC,Capitation Payment,,
CVp,CARC,Capital Passthru,,
CWp,CARC,Certified Registered Nurse Anesthetist Passthru,,
DMp,CARC,Direct Medical Education Passthru,,
E3p,CARC,Withholding,,
FBp,CARC,Forwarding Balance,,
FCp,CARC,Fund Allocation,,
GOp,CARC,Graduate Medical Education Passthru,,
IPp,CARC,Incentive Premium Payment,,
IRp,CARC,Internal Revenue Service Withholding,,
ISp,CARC,Interim Settlement,,
J1p,CARC,Nonreimbursable,,
L3p,CARC,Penalty,,
L6p,CARC,Interest Owed,,
LEp,CARC,Levy,,
LSp,CARC,Lump Sum,,
OAp,CARC,Organ Acquisition Passthru,,
OBp,CARC,Offset for Affiliated Providers,,
PIp,CARC,Periodic Interim Payment,,
PLp,CARC,Payment Final,,
RAp,CARC,Retro-activity Adjustment,,
REp,CARC,Return on Equity,,
SLp,CARC,Student Loan Repayment,,
TLp,CARC,Third Party Liablility,,
WOp,CARC,Overpayment Recovery,,
WUp,CARC,Unspecified Recovery,,
ZZp,CARC,Mutually Defined,,
1s,CARC,Additional Information Required - Missing/Invalid/Incomplete Documentation,,
2s,CARC,Additional Information Required - Missing/Invalid/Incomplete Data from Submitted Claim,,
3s,CARC,Billed Service Not Covered by Health Plan,,
4s,CARC,Benefit for Billed Service Not Separately Payable,,
M1,RARC,X-ray not taken within the past 12 months or near enough to the start of treatment.,,
M2,RARC,Not paid separately when the patient is an inpatient.,,
M3,RARC,Equipment is the same or similar to equipment already being used.,,
M4,RARC,Alert: This is the last monthly installment payment for this durable medical equipment.,,
M5,RARC,"Monthly rental payments can continue until the earlier of the 15th month from the first rental month, or the month when the equipment is no longer needed.",,
M6,RARC,Alert: You must furnish and service this item for any period of medical need for the remainder of the reasonable useful lifetime of the equipment.,,
M7,RARC,"No rental payments after the item is purchased, returned or after the total of issued rental payments equals the purchase price.",,
M8,RARC,We do not accept blood gas tests results when the test was conducted by a medical supplier or taken while the patient is on oxygen.,,
M9,RARC,Alert: This is the tenth rental month. You must offer the patient the choice of changing the rental to a purchase agreement.,,
M10,RARC,Equipment purchases are limited to the first or the tenth month of medical necessity.,,
M11,RARC,"DME, orthotics and prosthetics must be billed to the DME carrier who services the patient's zip code.",,
M12,RARC,Diagnostic tests performed by a physician must indicate whether purchased services are included on the claim.,,
M13,RARC,Only one initial visit is covered per specialty per medical group.,,
M14,RARC,"No separate payment for an injection administered during an office visit, and no payment for a full office visit if the patient only received an injection.",,
M15,RARC,Separately billed services/tests have been bundled as they are considered components of the same procedure. Separate payment is not allowed.,,
M16,RARC,"Alert: Please see our web site, mailings, or bulletins for more details concerning this policy/procedure/decision.",,
M17,RARC,"Alert: Payment approved as you did not know, and could not reasonably have been expected to know, that this would not normally have been covered for this patient. In the future, you will be liable for charges for the same service(s) under the same or similar conditions.",,
M18,RARC,Certain services may be approved for home use. Neither a hospital nor a Skilled Nursing Facility (SNF) is considered to be a patient's home.,,
M19,RARC,Missing oxygen certification/re-certification.,,
M20,RARC,Missing/incomplete/invalid HCPCS.,,
M21,RARC,Missing/incomplete/invalid place of residence for this service/item provided in a home.,,
M22,RARC,Missing/incomplete/invalid number of miles traveled.,,
M23,RARC,Missing invoice.,,
M24,RARC,Missing/incomplete/invalid number of doses per vial.,,
M25,RARC,"The information furnished does not substantiate the need for this level of service. If you believe the service should have been fully covered as billed, or if you did not know and could not reasonably have been expected to know that we would not pay for this level of service, or if you notified the patient in writing in advance that we would not pay for this level of service and he/she agreed in writing to pay, ask us to review your claim within 120 days of the date of this notice. If you do not request an appeal, we will, upon application from the patient, reimburse him/her for the amount you have collected from him/her in excess of any deductible and coinsurance amounts. We will recover the reimbursement from you as an overpayment.",,
M26,RARC,"The information furnished does not substantiate the need for this level of service. If you have collected any amount from the patient for this level of service/any amount that exceeds the limiting charge for the less extensive service, the law requires you to refund that amount to the patient within 30 days of receiving this notice. The requirements for refund are in 1824(I) of the Social Security Act and 42CFR411.408. The section specifies that physicians who knowingly and willfully fail to make appropriate refunds may be subject to civil monetary penalties and/or exclusion from the program. If you have any questions about this notice, please contact this office.",,
M27,RARC,"Alert: The patient has been relieved of liability of payment of these items and services under the limitation of liability provision of the law. The provider is ultimately liable for the patient's waived charges, including any charges for coinsurance, since the items or services were not reasonable and necessary or constituted custodial care, and you knew or could reasonably have been expected to know, that they were not covered. You may appeal this determination. You may ask for an appeal regarding both the coverage determination and the issue of whether you exercised due care. The appeal request must be filed within 120 days of the date you receive this notice. You must make the request through this office.",,
M28,RARC,This does not qualify for payment under Part B when Part A coverage is exhausted or not otherwise available.,,
M29,RARC,Missing operative note/report.,,
M30,RARC,Missing pathology report.,,
M31,RARC,Missing radiology report.,,
M32,RARC,Alert: This is a conditional payment made pending a decision on this service by the patient's primary payer. This payment may be subject to refund upon your receipt of any additional payment for this service from another payer. You must contact this office immediately upon receipt of an additional payment for this service.,,
M33,RARC,Missing/incomplete/invalid UPIN for the ordering/referring/performing provider.,,
M34,RARC,Claim lacks the CLIA certification number.,,
M35,RARC,Missing/incomplete/invalid pre-operative photos or visual field results.,,
M36,RARC,This is the 11th rental month. We cannot pay for this until you indicate that the patient has been given the option of changing the rental to a purchase.,,
M37,RARC,Not covered when the patient is under age 35.,,
M38,RARC,Alert: The patient is liable for the charges for this service as they were informed in writing before the service was furnished that we would not pay for it and the patient agreed to be responsible for the charges.,,
M39,RARC,Alert: The patient is not liable for payment of this service as the advance notice of non-coverage you provided the patient did not comply with program requirements.,,
M40,RARC,Claim must be assigned and must be filed by the practitioner's employer.,,
M41,RARC,We do not pay for this as the patient has no legal obligation to pay for this.,,
M42,RARC,The medical necessity form must be personally signed by the attending physician.,,
M43,RARC,Payment for this service previously issued to you or another provider by another carrier/intermediary.,,
M44,RARC,Missing/incomplete/invalid condition code.,,
M45,RARC,Missing/incomplete/invalid occurrence code(s).,,
M46,RARC,Missing/incomplete/invalid occurrence span code(s).,,
M47,RARC,"Missing/incomplete/invalid Payer Claim Control Number. Other terms exist for this element including, but not limited to, Internal Control Number (ICN), Claim Control Number (CCN), Document Control Number (DCN).",,
M48,RARC,Payment for services furnished to hospital inpatients (other than professional services of physicians) can only be made to the hospital. You must request payment from the hospital rather than the patient for this service.,,
M49,RARC,Missing/incomplete/invalid value code(s) or amount(s).,,
M50,RARC,Missing/incomplete/invalid revenue code(s).,,
M51,RARC,Missing/incomplete/invalid procedure code(s).,,
M52,RARC,Missing/incomplete/invalid 'from' date(s) of service.,,
M53,RARC,Missing/incomplete/invalid days or units of service.,,
M54,RARC,Missing/incomplete/invalid total charges.,,
M55,RARC,We do not pay for self-administered anti-emetic drugs that are not administered with a covered oral anti-cancer drug.,,
M56,RARC,Missing/incomplete/invalid payer identifier.,,
M57,RARC,Missing/incomplete/invalid provider identifier.,,
M58,RARC,Missing/incomplete/invalid claim information. Resubmit claim after corrections.,,
M59,RARC,Missing/incomplete/invalid 'to' date(s) of service.,,
M60,RARC,Missing Certificate of Medical Necessity.,,
M61,RARC,We cannot pay for this as the approval period for the FDA clinical trial has expired.,,
M62,RARC,Missing/incomplete/invalid treatment authorization code.,,
M63,RARC,We do not pay for more than one of these on the same day.,,
M64,RARC,Missing/incomplete/invalid other diagnosis.,,
M65,RARC,One interpreting physician charge can be submitted per claim when a purchased diagnostic test is indicated. Please submit a separate claim for each interpreting physician.,,
M66,RARC,Our records indicate that you billed diagnostic tests subject to price limitations and the procedure code submitted includes a professional component. Only the technical component is subject to price limitations. Please submit the technical and professional components of this service as separate line items.,,
M67,RARC,Missing/incomplete/invalid other procedure code(s).,,
M68,RARC,"Missing/incomplete/invalid attending, ordering, rendering, supervising or referring physician identification.",,
M69,RARC,Paid at the regular rate as you did not submit documentation to justify the modified procedure code.,,
M70,RARC,"Alert: The NDC code submitted for this service was translated to a HCPCS code for processing, but please continue to submit the NDC on future claims for this item.",,
M71,RARC,Total payment reduced due to overlap of tests billed.,,
M72,RARC,Did not enter full 8-digit date (MM/DD/CCYY).,,
M73,RARC,The HPSA/Physician Scarcity bonus can only be paid on the professional component of this service. Rebill as separate professional and technical components.,,
M74,RARC,This service does not qualify for a HPSA/Physician Scarcity bonus payment.,,
M75,RARC,Multiple automated multichannel tests performed on the same day combined for payment.,,
M76,RARC,Missing/incomplete/invalid diagnosis or condition.,,
M77,RARC,Missing/incomplete/invalid/inappropriate place of service.,,
M78,RARC,Missing/incomplete/invalid HCPCS modifier.,,
M79,RARC,Missing/incomplete/invalid charge.,,
M80,RARC,Not covered when performed during the same session/date as a previously processed service for the patient.,,
M81,RARC,You are required to code to the highest level of specificity.,,
M82,RARC,Service is not covered when patient is under age 50.,,
M83,RARC,Service is not covered unless the patient is classified as at high risk.,,
M84,RARC,Medical code sets used must be the codes in effect at the time of service.,,
M85,RARC,Subjected to review of physician evaluation and management services.,,
M86,RARC,Service denied because payment already made for same/similar procedure within set time frame.,,
M87,RARC,Claim/service(s) subjected to CFO-CAP prepayment review.,,
M88,RARC,We cannot pay for laboratory tests unless billed by the laboratory that did the work.,,
M89,RARC,Not covered more than once under age 40.,,
M90,RARC,Not covered more than once in a 12 month period.,,
M91,RARC,Lab procedures with different CLIA certification numbers must be billed on separate claims.,,
M92,RARC,Services subjected to review under the Home Health Medical Review Initiative.,,
M93,RARC,Information supplied supports a break in therapy. A new capped rental period began with delivery of this equipment.,,
M94,RARC,Information supplied does not support a break in therapy. A new capped rental period will not begin.,,
M95,RARC,Services subjected to Home Health Initiative medical review/cost report audit.,,
M96,RARC,"The technical component of a service furnished to an inpatient may only be billed by that inpatient facility. You must contact the inpatient facility for technical component reimbursement. If not already billed, you should bill us for the professional component only.",,
M97,RARC,Not paid to practitioner when provided to patient in this place of service. Payment included in the reimbursement issued the facility.,,
M98,RARC,Begin to report the Universal Product Number on claims for items of this type. We will soon begin to deny payment for items of this type if billed without the correct UPN.,,
M99,RARC,Missing/incomplete/invalid Universal Product Number/Serial Number.,,
M100,RARC,"We do not pay for an oral anti-emetic drug that is not administered for use immediately before, at, or within 48 hours of administration of a covered chemotherapy drug.",,
M101,RARC,Begin to report a G1-G5 modifier with this HCPCS. We will soon begin to deny payment for this service if billed without a G1-G5 modifier.,,
M102,RARC,Service not performed on equipment approved by the FDA for this purpose.,,
M103,RARC,"Information supplied supports a break in therapy. However, the medical information we have for this patient does not support the need for this item as billed. We have approved payment for this item at a reduced level, and a new capped rental period will begin with the delivery of this equipment.",,
M104,RARC,Information supplied supports a break in therapy. A new capped rental period will begin with delivery of the equipment. This is the maximum approved under the fee schedule for this item or service.,,
M105,RARC,"Information supplied does not support a break in therapy. The medical information we have for this patient does not support the need for this item as billed. We have approved payment for this item at a reduced level, and a new capped rental period will not begin.",,
M106,RARC,Information supplied does not support a break in therapy. A new capped rental period will not begin. This is the maximum approved under the fee schedule for this item or service.,,
M107,RARC,Payment reduced as 90-day rolling average hematocrit for ESRD patient exceeded 36.5%.,,
M108,RARC,Missing/incomplete/invalid provider identifier for the provider who interpreted the diagnostic test.,,
M109,RARC,We have provided you with a bundled payment for a teleconsultation. You must send 25 percent of the teleconsultation payment to the referring practitioner.,,
M110,RARC,Missing/incomplete/invalid provider identifier for the provider from whom you purchased interpretation services.,,
M111,RARC,We do not pay for chiropractic manipulative treatment when the patient refuses to have an x-ray taken.,,
M112,RARC,Reimbursement for this item is based on the single payment amount required under the DMEPOS Competitive Bidding Program for the area where the patient resides.,,
M113,RARC,Our records indicate that this patient began using this item/service prior to the current contract period for the DMEPOS Competitive Bidding Program.,,
M114,RARC,"This service was processed in accordance with rules and guidelines under the DMEPOS Competitive Bidding Program or a Demonstration Project. For more information regarding these projects, contact your local contractor.",,
M115,RARC,This item is denied when provided to this patient by a non-contract or non-demonstration supplier.,,
M116,RARC,Processed under a demonstration project or program. Project or program is ending and additional services may not be paid under this project or program.,,
M117,RARC,Not covered unless submitted via electronic claim.,,
M118,RARC,Letter to follow containing further information.,,
M119,RARC,Missing/incomplete/invalid/ deactivated/withdrawn National Drug Code (NDC).,,
M120,RARC,Missing/incomplete/invalid provider identifier for the substituting physician who furnished the service(s) under a reciprocal billing or locum tenens arrangement.,,
M121,RARC,We pay for this service only when performed with a covered cryosurgical ablation.,,
M122,RARC,Missing/incomplete/invalid level of subluxation.,,
M123,RARC,"Missing/incomplete/invalid name, strength, or dosage of the drug furnished.",,
M124,RARC,Missing indication of whether the patient owns the equipment that requires the part or supply.,,
M125,RARC,Missing/incomplete/invalid information on the period of time for which the service/supply/equipment will be needed.,,
M126,RARC,Missing/incomplete/invalid individual lab codes included in the test.,,
M127,RARC,Missing patient medical record for this service.,,
M128,RARC,Missing/incomplete/invalid date of the patient's last physician visit.,,
M129,RARC,Missing/incomplete/invalid indicator of x-ray availability for review.,,
M130,RARC,"Missing invoice or statement certifying the actual cost of the lens, less discounts, and/or the type of intraocular lens used.",,
M131,RARC,Missing physician financial relationship form.,,
M132,RARC,Missing pacemaker registration form.,,
M133,RARC,Claim did not identify who performed the purchased diagnostic test or the amount you were charged for the test.,,
M134,RARC,Performed by a facility/supplier in which the provider has a financial interest.,,
M135,RARC,Missing/incomplete/invalid plan of treatment.,,
M136,RARC,Missing/incomplete/invalid indication that the service was supervised or evaluated by a physician.,,
M137,RARC,Part B coinsurance under a demonstration project or pilot program.,,
M138,RARC,Patient identified as a demonstration participant but the patient was not enrolled in the demonstration at the time services were rendered. Coverage is limited to demonstration participants.,,
M139,RARC,Denied services exceed the coverage limit for the demonstration.,,
M140,RARC,"Service not covered until after the patient's 50th birthday, i.e., no coverage prior to the day after the 50th birthday",,
M141,RARC,Missing physician certified plan of care.,,
M142,RARC,Missing American Diabetes Association Certificate of Recognition.,,
M143,RARC,The provider must update license information with the payer.,,
M144,RARC,Pre-/post-operative care payment is included in the allowance for the surgery/procedure.,,
MA01,RARC,"Alert: If you do not agree with what we approved for these services, you may appeal our decision. To make sure that we are fair to you, we require another individual that did not process your initial claim to conduct the appeal. However, in order to be eligible for an appeal, you must write to us within 120 days of the date you received this notice, unless you have a good reason for being late.",,
MA02,RARC,"Alert: If you do not agree with this determination, you have the right to appeal. You must file a written request for an appeal within 180 days of the date you receive this notice.",,
MA03,RARC,"If you do not agree with the approved amounts and $100 or more is in dispute (less deductible and coinsurance), you may ask for a hearing within six months of the date of this notice. To meet the $100, you may combine amounts on other claims that have been denied, including reopened appeals if you received a revised decision. You must appeal each claim on time.",,
MA04,RARC,Secondary payment cannot be considered without the identity of or payment information from the primary payer. The information was either not reported or was illegible.,,
MA05,RARC,Incorrect admission date patient status or type of bill entry on claim.,,
MA06,RARC,Missing/incomplete/invalid beginning and/or ending date(s).,,
MA07,RARC,Alert: The claim information has also been forwarded to Medicaid for review.,,
MA08,RARC,"Alert: Claim information was not forwarded because the supplemental coverage is not with a Medigap plan, or you do not participate in Medicare.",,
MA09,RARC,Alert: Claim submitted as unassigned but processed as assigned in accordance with our current assignment/participation agreement.,,
MA10,RARC,Alert: The patient's payment was in excess of the amount owed. You must refund the overpayment to the patient.,,
MA11,RARC,"Payment is being issued on a conditional basis. If no-fault insurance, liability insurance, Workers' Compensation, Department of Veterans Affairs, or a group health plan for employees and dependents also covers this claim, a refund may be due us. Please contact us if the patient is covered by any of these sources.",,
MA12,RARC,You have not established that you have the right under the law to bill for services furnished by the person(s) that furnished this (these) service(s).,,
MA13,RARC,Alert: You may be subject to penalties if you bill the patient for amounts not reported with the PR (patient responsibility) group code.,,
MA14,RARC,"Alert: The patient is a member of an employer-sponsored prepaid health plan. Services from outside that health plan are not covered. However, as you were not previously notified of this, we are paying this time. In the future, we will not pay you for non-plan services.",,
MA15,RARC,Alert: Your claim has been separated to expedite handling. You will receive a separate notice for the other services reported.,,
MA16,RARC,"The patient is covered by the Black Lung Program. Send this claim to the Department of Labor, Federal Black Lung Program, P.O. Box 828, Lanham-Seabrook MD 20703.",,
MA17,RARC,We are the primary payer and have paid at the primary rate. You must contact the patient's other insurer to refund any excess it may have paid due to its erroneous primary payment.,,
MA18,RARC,Alert: The claim information is also being forwarded to the patient's supplemental insurer. Send any questions regarding supplemental benefits to them.,,
MA19,RARC,Alert: Information was not sent to the Medigap insurer due to incorrect/invalid information you submitted concerning that insurer. Please verify your information and submit your secondary claim directly to that insurer.,,
MA20,RARC,Skilled Nursing Facility (SNF) stay not covered when care is primarily related to the use of an urethral catheter for convenience or the control of incontinence.,,
MA21,RARC,SSA records indicate mismatch with name and sex.,,
MA22,RARC,Payment of less than $1.00 suppressed.,,
MA23,RARC,Demand bill approved as result of medical review.,,
MA24,RARC,Christian Science Sanitarium/ Skilled Nursing Facility (SNF) bill in the same benefit period.,,
MA25,RARC,A patient may not elect to change a hospice provider more than once in a benefit period.,,
MA26,RARC,Alert: Our records indicate that you were previously informed of this rule.,,
MA27,RARC,Missing/incomplete/invalid entitlement number or name shown on the claim.,,
MA28,RARC,"Alert: Receipt of this notice by a physician or supplier who did not accept assignment is for information only and does not make the physician or supplier a party to the determination. No additional rights to appeal this decision, above those rights already provided for by regulation/instruction, are conferred by receipt of this notice.",,
MA29,RARC,"Missing/incomplete/invalid provider name, city, state, or zip code.",,
MA30,RARC,Missing/incomplete/invalid type of bill.,,
MA31,RARC,Missing/incomplete/invalid beginning and ending dates of the period billed.,,
MA32,RARC,Missing/incomplete/invalid number of covered days during the billing period.,,
MA33,RARC,Missing/incomplete/invalid non-covered days during the billing period.,,
MA34,RARC,Missing/incomplete/invalid number of coinsurance days during the billing period.,,
MA35,RARC,Missing/incomplete/invalid number of lifetime reserve days.,,
MA36,RARC,Missing/incomplete/invalid patient name.,,
MA37,RARC,Missing/incomplete/invalid patient's address.,,
MA38,RARC,Missing/incomplete/invalid birth date.,,
MA39,RARC,Missing/incomplete/invalid gender.,,
MA40,RARC,Missing/incomplete/invalid admission date.,,
MA41,RARC,Missing/incomplete/invalid admission type.,,
MA42,RARC,Missing/incomplete/invalid admission source.,,
MA43,RARC,Missing/incomplete/invalid patient status.,,
MA44,RARC,Alert: No appeal rights. Adjudicative decision based on law.,,
MA45,RARC,"Alert: As previously advised, a portion or all of your payment is being held in a special account.",,
MA46,RARC,Alert: The new information was considered but additional payment will not be issued.,,
MA47,RARC,"Our records show you have opted out of Medicare, agreeing with the patient not to bill Medicare for services/tests/supplies furnished. As result, we cannot pay this claim. The patient is responsible for payment.",,
MA48,RARC,Missing/incomplete/invalid name or address of responsible party or primary payer.,,
MA49,RARC,Missing/incomplete/invalid six-digit provider identifier for home health agency or hospice for physician(s) performing care plan oversight services.,,
MA50,RARC,Missing/incomplete/invalid Investigational Device Exemption number or Clinical Trial number.,,
MA51,RARC,Missing/incomplete/invalid CLIA certification number for laboratory services billed by physician office laboratory.,,
MA52,RARC,Missing/incomplete/invalid date.,,
MA53,RARC,Missing/incomplete/invalid Competitive Bidding Demonstration Project identification.,,
MA54,RARC,Physician certification or election consent for hospice care not received timely.,,
MA55,RARC,"Not covered as patient received medical health care services, automatically revoking his/her election to receive religious non-medical health care services.",,
MA56,RARC,"Our records show you have opted out of Medicare, agreeing with the patient not to bill Medicare for services/tests/supplies furnished. As result, we cannot pay this claim. The patient is responsible for payment, but under Federal law, you cannot charge the patient more than the limiting charge amount.",,
MA57,RARC,Patient submitted written request to revoke his/her election for religious non-medical health care services.,,
MA58,RARC,Missing/incomplete/invalid release of information indicator.,,
MA59,RARC,Alert: The patient overpaid you for these services. You must issue the patient a refund within 30 days for the difference between his/her payment and the total amount shown as patient responsibility on this notice.,,
MA60,RARC,Missing/incomplete/invalid patient relationship to insured.,,
MA61,RARC,Missing/incomplete/invalid social security number.,,
MA62,RARC,Alert: This is a telephone review decision.,,
MA63,RARC,Missing/incomplete/invalid principal diagnosis.,,
MA64,RARC,Our records indicate that we should be the third payer for this claim. We cannot process this claim until we have received payment information from the primary and secondary payers.,,
MA65,RARC,Missing/incomplete/invalid admitting diagnosis.,,
